track_name,album_name,release_date,popularity,release_year
Introduction - Tennessee Mountain Home,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,24,2024
My Tennessee Mountain Home,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,30,2024
Grooms Tune / Bonaparte's Retreat (Instrumental),"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,22,2024
I'll Live in Glory,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,21,2024
Singing His Praise / Daddy Was an Old Time Preacher Man Medley,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,22,2024
I'll Meet You in the Morning,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,19,2024
Rosewood Casket,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Runaway Girl,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,20,2024
I Just Stopped By,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,19,2024
When Possession Gets Too Strong,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
Put It Off Until Tomorrow,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Smoky Mountain DNA,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,17,2024
Heart Don't Fail Me Now,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,19,2024
Mama's Special Touch,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Take it Slow,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
Foolin' Around,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
Crops Came In,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,18,2024
I Will Know,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,14,2024
Apple Jack,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,17,2024
It's All Wrong but It's All Right,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,15,2024
Tell Me That You Love Me,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Canceled Plans,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,15,2024
The Man,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,14,2024
The Orchard,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Holy Water,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
A Rose Won't Fix It,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,12,2024
Where Will We Live Tomorrow,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Puppy Love,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Not Bad,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
For Keeps,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Crazy in Love With You,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,12,2024
Be Your Own Man,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,13,2024
Being Me,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,12,2024
We Might Be in Love,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
Randy Floyd,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,16,2024
When It's Family,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,15,2024
Outro - Smoky Mountain DNA,"Smoky Mountain DNA: Family, Faith and Fables",2024-11-15,11,2024
Rockstar,Rockstar ,2024-01-19,25,2024
World On Fire,Rockstar ,2024-01-19,27,2024
Every Breath You Take,Rockstar ,2024-01-19,24,2024
Open Arms,Rockstar ,2024-01-19,21,2024
Magic Man (Carl Version),Rockstar ,2024-01-19,20,2024
Long As I Can See The Light,Rockstar ,2024-01-19,19,2024
Either Or,Rockstar ,2024-01-19,19,2024
I Want You Back,Rockstar ,2024-01-19,27,2024
What Has Rock And Roll Ever Done For You,Rockstar ,2024-01-19,21,2024
Purple Rain,Rockstar ,2024-01-19,22,2024
"Baby, I Love Your Way",Rockstar ,2024-01-19,19,2024
I Hate Myself For Loving You,Rockstar ,2024-01-19,21,2024
