release_year,popularity
1900,18.25
1975,10.7
1976,16.4
1977,27.95
1979,18.3
1980,15.0
1982,11.8
1983,13.2
1984,19.818181818181817
1985,21.6
1987,23.904761904761905
1989,23.6
1990,21.2
1991,21.727272727272727
1993,23.75
1994,11.652173913043478
1995,13.7
1996,21.09090909090909
1998,11.833333333333334
1999,15.454545454545455
2001,22.071428571428573
2002,17.857142857142858
2003,14.555555555555555
2004,10.08695652173913
2005,13.75
2008,15.0
2009,8.789473684210526
2011,11.125
2014,21.583333333333332
2016,12.166666666666666
2017,13.142857142857142
2018,25.434782608695652
2020,23.8
2022,16.666666666666668
2023,26.733333333333334
2024,19.25
