popularity,release_date_y,genres
0,6/7/01,rockabilly
0,6/7/01,doo-wop
49,4/28/08,italian singer-songwriter
49,4/28/08,italo dance
49,4/28/08,canzone napoletana
33,7/26/05,doo-wop
0,1/1/97,doo-wop
26,1/1/00,country
26,1/1/00,traditional country
26,1/1/00,honky tonk
31,6/18/90,folk
0,9/4/15,smooth soul
46,1/1/10,christmas
46,1/1/10,children's music
48,1/1/91,doo-wop
33,1/1/94,doo-wop
29,3/21/00,doo-wop
51,1/1/93,doo-wop
51,1/1/93,adult standards
6,11/9/09,doo-wop
6,11/9/09,rockabilly
6,11/9/09,rockabilly
6,11/9/09,honky tonk
42,10/3/00,adult standards
38,9/24/02,rockabilly
38,9/24/02,rock and roll
63,10/25/12,surf rock
63,10/25/12,exotica
41,11/23/04,big band
41,11/23/04,adult standards
41,11/23/04,swing music
41,11/23/04,doo-wop
50,1/1/93,doo-wop
50,1/1/93,adult standards
11,12/4/13,doo-wop
20,9/1/13,rockabilly
20,9/1/13,doo-wop
0,1/1/03,doo-wop
46,4/14/87,orchestra
46,4/14/87,easy listening
47,8/11/63,rockabilly
47,8/11/63,rock and roll
42,6/1/62,doo-wop
0,1/1/99,schlager
4,10/28/14,doo-wop
0,1/1/99,christmas
54,9/24/02,rockabilly
54,9/24/02,rock and roll
50,1/1/05,rock and roll
0,1/1/05,schlager
63,1962,doo-wop
63,1962,motown
0,1/1/99,christmas
55,9/1/60,jazz blues
55,9/1/60,soul
55,9/1/60,soul blues
55,9/1/60,blues
55,9/1/60,vocal jazz
54,9/24/87,doo-wop
50,8/11/63,rockabilly
50,8/11/63,rock and roll
0,9/1/12,orchestra
0,9/1/12,easy listening
0,9/1/12,big band
0,9/1/12,exotica
28,1/1/13,doo-wop
28,1/1/13,motown
18,2/8/19,big band
18,2/8/19,polka
18,2/8/19,easy listening
0,6/3/08,rock and roll
44,9/24/02,rockabilly
44,9/24/02,rock and roll
40,6/11/90,doo-wop
0,1/1/73,doo-wop
18,1/1/02,doo-wop
37,1/1/91,rockabilly
37,1/1/91,doo-wop
46,1/1/62,rockabilly
27,1/1/64,adult standards
28,1/1/98,doo-wop
6,1/1/03,doo-wop
19,1991,folk
49,1/1/11,doo-wop
49,1/1/11,rock and roll
0,4/8/16,jazz blues
0,4/8/16,soul
0,4/8/16,soul blues
0,4/8/16,blues
0,4/8/16,vocal jazz
67,1961,doo-wop
63,1961,motown
63,1961,northern soul
63,1961,doo-wop
61,8/29/94,doo-wop
0,6/27/95,doo-wop
53,1/1/62,doo-wop
53,1/1/62,northern soul
0,1/1/99,schlager
32,1/24/06,doo-wop
39,9/24/02,rockabilly
39,9/24/02,rock and roll
0,3/7/09,doo-wop
0,3/7/09,motown
0,8/6/12,jazz blues
0,8/6/12,soul
0,8/6/12,soul blues
0,8/6/12,blues
0,8/6/12,vocal jazz
26,1/1/05,exotica
37,6/22/04,doo-wop
37,6/22/04,adult standards
45,10/25/99,doo-wop
45,10/25/99,adult standards
40,3/18/16,doo-wop
45,1/1/62,bubblegum pop
52,1/14/03,doo-wop
52,1/14/03,northern soul
